highest,monthYear,age,count
Health,2013-01-01,<15,4
Health,2013-01-01,>65,8
Health,2013-01-01,NA,1
Health,2013-02-01,15-24,157
Health,2013-02-01,25-34,136
Health,2013-02-01,35-44,86
Health,2013-02-01,45-54,51
Health,2013-02-01,55-64,26
Health,2013-02-01,<15,10
Health,2013-02-01,>65,9
Health,2013-02-01,NA,10
Health,2013-03-01,15-24,296
Health,2013-03-01,25-34,206
Health,2013-03-01,35-44,107
Health,2013-03-01,45-54,91
Health,2013-03-01,55-64,50
Health,2013-03-01,<15,7
Health,2013-03-01,>65,11
Health,2013-03-01,NA,4
Health,2013-04-01,15-24,138
Health,2013-04-01,25-34,149
Health,2013-04-01,35-44,82
Health,2013-04-01,45-54,49
Health,2013-04-01,55-64,27
Health,2013-04-01,<15,5
Health,2013-04-01,>65,14
Health,2013-04-01,NA,6
Health,2013-05-01,15-24,1058
Health,2013-05-01,25-34,2247
Health,2013-05-01,35-44,1477
Health,2013-05-01,45-54,998
Health,2013-05-01,55-64,602
Health,2013-05-01,<15,58
Health,2013-05-01,>65,238
Health,2013-05-01,NA,15
Health,2013-06-01,15-24,585
Health,2013-06-01,25-34,1111
Health,2013-06-01,35-44,721
Health,2013-06-01,45-54,419
Health,2013-06-01,55-64,244
Health,2013-06-01,<15,28
Health,2013-06-01,>65,83
Health,2013-06-01,NA,15
Health,2013-07-01,15-24,106
Health,2013-07-01,25-34,146
Health,2013-07-01,35-44,97
Health,2013-07-01,45-54,62
Health,2013-07-01,55-64,29
Health,2013-07-01,<15,4
Health,2013-07-01,>65,5
Health,2013-07-01,NA,2
Health,2013-08-01,15-24,164
Health,2013-08-01,25-34,221
Health,2013-08-01,35-44,96
Health,2013-08-01,45-54,48
Health,2013-08-01,55-64,30
Health,2013-08-01,<15,18
Health,2013-08-01,>65,17
Health,2013-09-01,15-24,368
Health,2013-09-01,25-34,260
Health,2013-09-01,35-44,131
Health,2013-09-01,45-54,80
Health,2013-09-01,55-64,42
Health,2013-09-01,<15,42
Health,2013-09-01,>65,18
Health,2013-10-01,15-24,362
Health,2013-10-01,25-34,211
Health,2013-10-01,35-44,165
Health,2013-10-01,45-54,96
Health,2013-10-01,55-64,62
Health,2013-10-01,<15,59
Health,2013-10-01,>65,16
Health,2013-11-01,15-24,402
Health,2013-11-01,25-34,317
Health,2013-11-01,35-44,265
Health,2013-11-01,45-54,176
Health,2013-11-01,55-64,107
Health,2013-11-01,<15,34
Health,2013-11-01,>65,49
Health,2013-12-01,15-24,136
Health,2013-12-01,25-34,127
Health,2013-12-01,35-44,76
Health,2013-12-01,45-54,46
Health,2013-12-01,55-64,29
Health,2013-12-01,<15,8
Health,2013-12-01,>65,17
Health,2014-01-01,15-24,480
Health,2014-01-01,25-34,695
Health,2014-01-01,35-44,480
Health,2014-01-01,45-54,342
Health,2014-01-01,55-64,241
Health,2014-01-01,<15,39
Health,2014-01-01,>65,148
Health,2014-02-01,15-24,398
Health,2014-02-01,25-34,233
Health,2014-02-01,35-44,136
Health,2014-02-01,45-54,105
Health,2014-02-01,55-64,62
Health,2014-02-01,<15,37
Health,2014-02-01,>65,32
Health,2014-03-01,15-24,377
Health,2014-03-01,25-34,325
Health,2014-03-01,35-44,168
Health,2014-03-01,45-54,132
Health,2014-03-01,55-64,68
Health,2014-03-01,<15,37
Health,2014-03-01,>65,27
Health,2014-04-01,15-24,311
Health,2014-04-01,25-34,254
Health,2014-04-01,35-44,184
Health,2014-04-01,45-54,119
Health,2014-04-01,55-64,84
Health,2014-04-01,<15,110
Health,2014-04-01,>65,34
Health,2014-05-01,15-24,542
Health,2014-05-01,25-34,874
Health,2014-05-01,35-44,493
Health,2014-05-01,45-54,360
Health,2014-05-01,55-64,195
Health,2014-05-01,<15,57
Health,2014-05-01,>65,73
Health,2014-06-01,15-24,253
Health,2014-06-01,25-34,347
Health,2014-06-01,35-44,249
Health,2014-06-01,45-54,158
Health,2014-06-01,55-64,80
Health,2014-06-01,<15,31
Health,2014-06-01,>65,39
Health,2014-07-01,15-24,218
Health,2014-07-01,25-34,238
Health,2014-07-01,35-44,143
Health,2014-07-01,45-54,97
Health,2014-07-01,55-64,66
Health,2014-07-01,<15,15
Health,2014-07-01,>65,22
Health,2014-08-01,15-24,593
Health,2014-08-01,25-34,1178
Health,2014-08-01,35-44,754
Health,2014-08-01,45-54,452
Health,2014-08-01,55-64,282
Health,2014-08-01,<15,26
Health,2014-08-01,>65,136
Health,2014-09-01,15-24,376
Health,2014-09-01,25-34,203
Health,2014-09-01,35-44,113
Health,2014-09-01,45-54,63
Health,2014-09-01,55-64,46
Health,2014-09-01,<15,35
Health,2014-09-01,>65,22
Health,2014-10-01,15-24,441
Health,2014-10-01,25-34,269
Health,2014-10-01,35-44,162
Health,2014-10-01,45-54,122
Health,2014-10-01,55-64,54
Health,2014-10-01,<15,55
Health,2014-10-01,>65,20
Health,2014-11-01,15-24,279
Health,2014-11-01,25-34,176
Health,2014-11-01,35-44,95
Health,2014-11-01,45-54,79
Health,2014-11-01,55-64,38
Health,2014-11-01,<15,21
Health,2014-11-01,>65,14
Health,2014-12-01,15-24,230
Health,2014-12-01,25-34,176
Health,2014-12-01,35-44,91
Health,2014-12-01,45-54,45
Health,2014-12-01,55-64,34
Health,2014-12-01,<15,18
Health,2014-12-01,>65,12
Health,2015-01-01,15-24,314
Health,2015-01-01,25-34,228
Health,2015-01-01,35-44,128
Health,2015-01-01,45-54,79
Health,2015-01-01,55-64,51
Health,2015-01-01,<15,38
Health,2015-01-01,>65,25
Health,2015-02-01,15-24,399
Health,2015-02-01,25-34,178
Health,2015-02-01,35-44,107
Health,2015-02-01,45-54,79
Health,2015-02-01,55-64,32
Health,2015-02-01,<15,78
Health,2015-02-01,>65,22
Health,2015-03-01,15-24,559
Health,2015-03-01,25-34,456
Health,2015-03-01,35-44,200
Health,2015-03-01,45-54,90
Health,2015-03-01,55-64,37
Health,2015-03-01,<15,73
Health,2015-03-01,>65,18
Health,2015-04-01,15-24,283
Health,2015-04-01,25-34,198
Health,2015-04-01,35-44,93
Health,2015-04-01,45-54,48
Health,2015-04-01,55-64,29
Health,2015-04-01,<15,69
Health,2015-04-01,>65,15
Health,2015-05-01,15-24,266
Health,2015-05-01,25-34,181
Health,2015-05-01,35-44,122
Health,2015-05-01,45-54,80
Health,2015-05-01,55-64,56
Health,2015-05-01,<15,37
Health,2015-05-01,>65,12
Health,2015-06-01,15-24,257
Health,2015-06-01,25-34,357
Health,2015-06-01,35-44,291
Health,2015-06-01,45-54,201
Health,2015-06-01,55-64,148
Health,2015-06-01,<15,26
Health,2015-06-01,>65,91
Health,2015-07-01,15-24,209
Health,2015-07-01,25-34,130
Health,2015-07-01,35-44,103
Health,2015-07-01,45-54,79
Health,2015-07-01,55-64,28
Health,2015-07-01,<15,25
Health,2015-07-01,>65,13
Health,2015-08-01,15-24,137
Health,2015-08-01,25-34,103
Health,2015-08-01,35-44,58
Health,2015-08-01,45-54,41
Health,2015-08-01,55-64,22
Health,2015-08-01,<15,17
Health,2015-08-01,>65,10
Health,2015-09-01,15-24,308
Health,2015-09-01,25-34,118
Health,2015-09-01,35-44,76
Health,2015-09-01,45-54,47
Health,2015-09-01,55-64,15
Health,2015-09-01,<15,42
Health,2015-09-01,>65,10
Health,2015-10-01,15-24,377
Health,2015-10-01,25-34,207
Health,2015-10-01,35-44,168
Health,2015-10-01,45-54,103
Health,2015-10-01,55-64,61
Health,2015-10-01,<15,29
Health,2015-10-01,>65,28
Health,2015-11-01,15-24,592
Health,2015-11-01,25-34,337
Health,2015-11-01,35-44,159
Health,2015-11-01,45-54,78
Health,2015-11-01,55-64,46
Health,2015-11-01,<15,38
Health,2015-11-01,>65,27
Health,2015-12-01,15-24,121
Health,2015-12-01,25-34,74
Health,2015-12-01,35-44,43
Health,2015-12-01,45-54,33
Health,2015-12-01,55-64,10
Health,2015-12-01,<15,6
Health,2015-12-01,>65,4
Housing,2011-05-01,15-24,144
Housing,2011-05-01,25-34,372
Housing,2011-05-01,35-44,283
Housing,2011-05-01,45-54,185
Housing,2011-05-01,55-64,94
Housing,2011-05-01,>65,31
Housing,2011-05-01,NA,2
Housing,2011-06-01,15-24,37
Housing,2011-06-01,25-34,107
Housing,2011-06-01,35-44,61
Housing,2011-06-01,45-54,47
Housing,2011-06-01,55-64,27
Housing,2011-06-01,>65,10
Housing,2011-06-01,NA,1
Housing,2011-07-01,15-24,6
Housing,2011-07-01,25-34,13
Housing,2011-07-01,35-44,18
Housing,2011-07-01,45-54,16
Housing,2011-07-01,55-64,5
Housing,2011-07-01,>65,3
Housing,2011-08-01,15-24,8
Housing,2011-08-01,25-34,12
Housing,2011-08-01,35-44,8
Housing,2011-08-01,45-54,6
Housing,2011-08-01,55-64,3
Housing,2011-09-01,15-24,11
Housing,2011-09-01,25-34,13
Housing,2011-09-01,35-44,14
Housing,2011-09-01,45-54,7
Housing,2011-09-01,55-64,2
Housing,2011-09-01,NA,1
Housing,2011-10-01,15-24,29
Housing,2011-10-01,25-34,53
Housing,2011-10-01,35-44,21
Housing,2011-10-01,45-54,24
Housing,2011-10-01,55-64,15
Housing,2011-10-01,>65,5
Housing,2011-10-01,NA,1
Housing,2011-11-01,15-24,41
Housing,2011-11-01,25-34,30
Housing,2011-11-01,35-44,24
Housing,2011-11-01,45-54,10
Housing,2011-11-01,55-64,15
Housing,2011-11-01,>65,5
Housing,2011-11-01,NA,3
Housing,2011-12-01,15-24,21
Housing,2011-12-01,25-34,22
Housing,2011-12-01,35-44,18
Housing,2011-12-01,45-54,7
Housing,2011-12-01,55-64,8
Housing,2011-12-01,>65,1
Housing,2011-12-01,NA,2
Housing,2012-01-01,15-24,26
Housing,2012-01-01,25-34,63
Housing,2012-01-01,35-44,22
Housing,2012-01-01,45-54,22
Housing,2012-01-01,55-64,19
Housing,2012-01-01,>65,4
Housing,2012-02-01,15-24,22
Housing,2012-02-01,25-34,21
Housing,2012-02-01,35-44,16
Housing,2012-02-01,45-54,14
Housing,2012-02-01,55-64,9
Housing,2012-02-01,>65,4
Housing,2012-02-01,NA,1
Housing,2012-03-01,15-24,36
Housing,2012-03-01,25-34,26
Housing,2012-03-01,35-44,11
Housing,2012-03-01,45-54,6
Housing,2012-03-01,55-64,5
Housing,2012-03-01,>65,2
Housing,2012-04-01,15-24,17
Housing,2012-04-01,25-34,24
Housing,2012-04-01,35-44,15
Housing,2012-04-01,45-54,12
Housing,2012-04-01,55-64,7
Housing,2012-05-01,15-24,195
Housing,2012-05-01,25-34,455
Housing,2012-05-01,35-44,310
Housing,2012-05-01,45-54,189
Housing,2012-05-01,55-64,135
Housing,2012-05-01,<15,11
Housing,2012-05-01,>65,54
Housing,2012-05-01,NA,8
Housing,2012-06-01,15-24,100
Housing,2012-06-01,25-34,180
Housing,2012-06-01,35-44,102
Housing,2012-06-01,45-54,74
Housing,2012-06-01,55-64,49
Housing,2012-06-01,<15,20
Housing,2012-06-01,>65,22
Housing,2012-06-01,NA,3
Housing,2012-07-01,15-24,67
Housing,2012-07-01,25-34,106
Housing,2012-07-01,35-44,62
Housing,2012-07-01,45-54,27
Housing,2012-07-01,55-64,18
Housing,2012-07-01,<15,3
Housing,2012-07-01,>65,10
Housing,2012-07-01,NA,2
Housing,2012-08-01,15-24,150
Housing,2012-08-01,25-34,89
Housing,2012-08-01,35-44,53
Housing,2012-08-01,45-54,33
Housing,2012-08-01,55-64,11
Housing,2012-08-01,<15,4
Housing,2012-08-01,>65,6
Housing,2012-09-01,15-24,135
Housing,2012-09-01,25-34,84
Housing,2012-09-01,35-44,46
Housing,2012-09-01,45-54,32
Housing,2012-09-01,55-64,9
Housing,2012-09-01,<15,6
Housing,2012-09-01,>65,4
Housing,2012-09-01,NA,2
Housing,2012-10-01,15-24,160
Housing,2012-10-01,25-34,96
Housing,2012-10-01,35-44,54
Housing,2012-10-01,45-54,35
Housing,2012-10-01,55-64,19
Housing,2012-10-01,<15,9
Housing,2012-10-01,>65,7
Housing,2012-10-01,NA,1
Housing,2012-11-01,15-24,142
Housing,2012-11-01,25-34,82
Housing,2012-11-01,35-44,81
Housing,2012-11-01,45-54,33
Housing,2012-11-01,55-64,16
Housing,2012-11-01,<15,11
Housing,2012-11-01,>65,9
Housing,2012-11-01,NA,2
Housing,2012-12-01,15-24,101
Housing,2012-12-01,25-34,85
Housing,2012-12-01,35-44,33
Housing,2012-12-01,45-54,31
Housing,2012-12-01,55-64,21
Housing,2012-12-01,<15,9
Housing,2012-12-01,>65,3
Housing,2012-12-01,NA,1
Housing,2013-01-01,15-24,90
Housing,2013-01-01,25-34,87
Housing,2013-01-01,35-44,49
Housing,2013-01-01,45-54,32
Housing,2013-01-01,55-64,22
Housing,2013-01-01,<15,7
Housing,2013-01-01,>65,8
Housing,2013-01-01,NA,1
Housing,2013-02-01,15-24,74
Housing,2013-02-01,25-34,83
Housing,2013-02-01,35-44,57
Housing,2013-02-01,45-54,32
Housing,2013-02-01,55-64,12
Housing,2013-02-01,<15,14
Housing,2013-02-01,>65,4
Housing,2013-02-01,NA,7
Housing,2013-03-01,15-24,165
Housing,2013-03-01,25-34,100
Housing,2013-03-01,35-44,62
Housing,2013-03-01,45-54,36
Housing,2013-03-01,55-64,21
Housing,2013-03-01,<15,6
Housing,2013-03-01,>65,8
Housing,2013-03-01,NA,5
Housing,2013-04-01,15-24,79
Housing,2013-04-01,25-34,91
Housing,2013-04-01,35-44,53
Housing,2013-04-01,45-54,29
Housing,2013-04-01,55-64,16
Housing,2013-04-01,<15,4
Housing,2013-04-01,>65,8
Housing,2013-04-01,NA,3
Housing,2013-05-01,15-24,684
Housing,2013-05-01,25-34,1369
Housing,2013-05-01,35-44,913
Housing,2013-05-01,45-54,625
Housing,2013-05-01,55-64,361
Housing,2013-05-01,<15,40
Housing,2013-05-01,>65,149
Housing,2013-05-01,NA,13
Housing,2013-06-01,15-24,368
Housing,2013-06-01,25-34,692
Housing,2013-06-01,35-44,463
Housing,2013-06-01,45-54,268
Housing,2013-06-01,55-64,150
Housing,2013-06-01,<15,25
Housing,2013-06-01,>65,58
Housing,2013-06-01,NA,5
Housing,2013-07-01,15-24,67
Housing,2013-07-01,25-34,98
Housing,2013-07-01,35-44,58
Housing,2013-07-01,45-54,29
Housing,2013-07-01,55-64,11
Housing,2013-07-01,<15,6
Housing,2013-07-01,>65,1
Housing,2013-08-01,15-24,102
Housing,2013-08-01,25-34,142
Housing,2013-08-01,35-44,58
Housing,2013-08-01,45-54,27
Housing,2013-08-01,55-64,18
Housing,2013-08-01,<15,8
Housing,2013-08-01,>65,10
Housing,2013-09-01,15-24,211
Housing,2013-09-01,25-34,142
Housing,2013-09-01,35-44,83
Housing,2013-09-01,45-54,49
Housing,2013-09-01,55-64,20
Housing,2013-09-01,<15,21
Housing,2013-09-01,>65,10
Housing,2013-10-01,15-24,225
Housing,2013-10-01,25-34,121
Housing,2013-10-01,35-44,86
Housing,2013-10-01,45-54,46
Housing,2013-10-01,55-64,20
Housing,2013-10-01,<15,29
Housing,2013-10-01,>65,8
Housing,2013-11-01,15-24,277
Housing,2013-11-01,25-34,183
Housing,2013-11-01,35-44,162
Housing,2013-11-01,45-54,90
Housing,2013-11-01,55-64,50
Housing,2013-11-01,<15,28
Housing,2013-11-01,>65,25
Housing,2013-12-01,15-24,77
Housing,2013-12-01,25-34,62
Housing,2013-12-01,35-44,39
Housing,2013-12-01,45-54,26
Housing,2013-12-01,55-64,11
Housing,2013-12-01,<15,5
Housing,2013-12-01,>65,7
Housing,2014-01-01,15-24,245
Housing,2014-01-01,25-34,408
Housing,2014-01-01,35-44,269
Housing,2014-01-01,45-54,198
Housing,2014-01-01,55-64,137
Housing,2014-01-01,<15,25
Housing,2014-01-01,>65,91
Housing,2014-02-01,15-24,242
Housing,2014-02-01,25-34,137
Housing,2014-02-01,35-44,84
Housing,2014-02-01,45-54,49
Housing,2014-02-01,55-64,29
Housing,2014-02-01,<15,26
Housing,2014-02-01,>65,18
Housing,2014-03-01,15-24,200
Housing,2014-03-01,25-34,164
Housing,2014-03-01,35-44,100
Housing,2014-03-01,45-54,72
Housing,2014-03-01,55-64,26
Housing,2014-03-01,<15,27
Housing,2014-03-01,>65,10
Housing,2014-04-01,15-24,159
Housing,2014-04-01,25-34,156
Housing,2014-04-01,35-44,107
Housing,2014-04-01,45-54,77
Housing,2014-04-01,55-64,49
Housing,2014-04-01,<15,69
Housing,2014-04-01,>65,17
Housing,2014-05-01,15-24,271
Housing,2014-05-01,25-34,418
Housing,2014-05-01,35-44,209
Housing,2014-05-01,45-54,149
Housing,2014-05-01,55-64,81
Housing,2014-05-01,<15,37
Housing,2014-05-01,>65,28
Housing,2014-06-01,15-24,133
Housing,2014-06-01,25-34,166
Housing,2014-06-01,35-44,115
Housing,2014-06-01,45-54,83
Housing,2014-06-01,55-64,43
Housing,2014-06-01,<15,19
Housing,2014-06-01,>65,23
Housing,2014-07-01,15-24,116
Housing,2014-07-01,25-34,123
Housing,2014-07-01,35-44,76
Housing,2014-07-01,45-54,43
Housing,2014-07-01,55-64,20
Housing,2014-07-01,<15,12
Housing,2014-07-01,>65,7
Housing,2014-08-01,15-24,285
Housing,2014-08-01,25-34,522
Housing,2014-08-01,35-44,346
Housing,2014-08-01,45-54,177
Housing,2014-08-01,55-64,118
Housing,2014-08-01,<15,23
Housing,2014-08-01,>65,42
Housing,2014-09-01,15-24,191
Housing,2014-09-01,25-34,107
Housing,2014-09-01,35-44,49
Housing,2014-09-01,45-54,31
Housing,2014-09-01,55-64,18
Housing,2014-09-01,<15,17
Housing,2014-09-01,>65,9
Housing,2014-10-01,15-24,222
Housing,2014-10-01,25-34,139
Housing,2014-10-01,35-44,95
Housing,2014-10-01,45-54,60
Housing,2014-10-01,55-64,25
Housing,2014-10-01,<15,42
Housing,2014-10-01,>65,13
Housing,2014-11-01,15-24,151
Housing,2014-11-01,25-34,93
Housing,2014-11-01,35-44,51
Housing,2014-11-01,45-54,43
Housing,2014-11-01,55-64,17
Housing,2014-11-01,<15,16
Housing,2014-11-01,>65,5
Housing,2014-12-01,15-24,112
Housing,2014-12-01,25-34,90
Housing,2014-12-01,35-44,46
Housing,2014-12-01,45-54,24
Housing,2014-12-01,55-64,21
Housing,2014-12-01,<15,17
Housing,2014-12-01,>65,4
Housing,2015-01-01,15-24,153
Housing,2015-01-01,25-34,118
Housing,2015-01-01,35-44,69
Housing,2015-01-01,45-54,35
Housing,2015-01-01,55-64,34
Housing,2015-01-01,<15,22
Housing,2015-01-01,>65,15
Housing,2015-02-01,15-24,220
Housing,2015-02-01,25-34,98
Housing,2015-02-01,35-44,61
Housing,2015-02-01,45-54,52
Housing,2015-02-01,55-64,19
Housing,2015-02-01,<15,54
Housing,2015-02-01,>65,8
Housing,2015-03-01,15-24,324
Housing,2015-03-01,25-34,257
Housing,2015-03-01,35-44,110
Housing,2015-03-01,45-54,46
Housing,2015-03-01,55-64,20
Housing,2015-03-01,<15,51
Housing,2015-03-01,>65,7
Housing,2015-04-01,15-24,149
Housing,2015-04-01,25-34,107
Housing,2015-04-01,35-44,50
Housing,2015-04-01,45-54,28
Housing,2015-04-01,55-64,10
Housing,2015-04-01,<15,53
Housing,2015-04-01,>65,7
Housing,2015-05-01,15-24,146
Housing,2015-05-01,25-34,95
Housing,2015-05-01,35-44,63
Housing,2015-05-01,45-54,41
Housing,2015-05-01,55-64,21
Housing,2015-05-01,<15,24
Housing,2015-05-01,>65,10
Housing,2015-06-01,15-24,122
Housing,2015-06-01,25-34,174
Housing,2015-06-01,35-44,149
Housing,2015-06-01,45-54,123
Housing,2015-06-01,55-64,79
Housing,2015-06-01,<15,21
Housing,2015-06-01,>65,41
Housing,2015-07-01,15-24,139
Housing,2015-07-01,25-34,56
Housing,2015-07-01,35-44,50
Housing,2015-07-01,45-54,37
Housing,2015-07-01,55-64,18
Housing,2015-07-01,<15,14
Housing,2015-07-01,>65,11
Housing,2015-08-01,15-24,88
Housing,2015-08-01,25-34,62
Housing,2015-08-01,35-44,44
Housing,2015-08-01,45-54,19
Housing,2015-08-01,55-64,13
Housing,2015-08-01,<15,12
Housing,2015-08-01,>65,6
Housing,2015-09-01,15-24,153
Housing,2015-09-01,25-34,56
Housing,2015-09-01,35-44,49
Housing,2015-09-01,45-54,22
Housing,2015-09-01,55-64,8
Housing,2015-09-01,<15,24
Housing,2015-09-01,>65,7
Housing,2015-10-01,15-24,204
Housing,2015-10-01,25-34,121
Housing,2015-10-01,35-44,84
Housing,2015-10-01,45-54,65
Housing,2015-10-01,55-64,29
Housing,2015-10-01,<15,20
Housing,2015-10-01,>65,18
Housing,2015-11-01,15-24,316
Housing,2015-11-01,25-34,171
Housing,2015-11-01,35-44,94
Housing,2015-11-01,45-54,43
Housing,2015-11-01,55-64,28
Housing,2015-11-01,<15,29
Housing,2015-11-01,>65,19
Housing,2015-12-01,15-24,71
Housing,2015-12-01,25-34,45
Housing,2015-12-01,35-44,31
Housing,2015-12-01,45-54,17
Housing,2015-12-01,55-64,6
Housing,2015-12-01,<15,6
Housing,2015-12-01,>65,1
Income,2011-05-01,15-24,156
Income,2011-05-01,25-34,382
Income,2011-05-01,35-44,259
Income,2011-05-01,45-54,134
Income,2011-05-01,55-64,70
Income,2011-05-01,>65,20
Income,2011-05-01,NA,1
Income,2011-06-01,15-24,40
Income,2011-06-01,25-34,116
Income,2011-06-01,35-44,65
Income,2011-06-01,45-54,42
Income,2011-06-01,55-64,21
Income,2011-06-01,>65,8
Income,2011-06-01,NA,1
Income,2011-07-01,15-24,8
Income,2011-07-01,25-34,24
Income,2011-07-01,35-44,13
Income,2011-07-01,45-54,13
Income,2011-07-01,55-64,3
Income,2011-07-01,>65,3
Income,2011-08-01,15-24,6
Income,2011-08-01,25-34,15
Income,2011-08-01,35-44,7
Income,2011-08-01,45-54,4
Income,2011-08-01,55-64,2
Income,2011-09-01,15-24,11
Income,2011-09-01,25-34,14
Income,2011-09-01,35-44,11
Income,2011-09-01,45-54,7
Income,2011-09-01,55-64,6
Income,2011-09-01,NA,2
Income,2011-10-01,15-24,25
Income,2011-10-01,25-34,41
Income,2011-10-01,35-44,28
Income,2011-10-01,45-54,18
Income,2011-10-01,55-64,9
Income,2011-10-01,>65,5
Income,2011-10-01,NA,1
Income,2011-11-01,15-24,34
Income,2011-11-01,25-34,33
Income,2011-11-01,35-44,22
Income,2011-11-01,45-54,7
Income,2011-11-01,55-64,10
Income,2011-11-01,>65,4
Income,2011-11-01,NA,2
Income,2011-12-01,15-24,13
Income,2011-12-01,25-34,23
Income,2011-12-01,35-44,12
Income,2011-12-01,45-54,6
Income,2011-12-01,55-64,4
Income,2011-12-01,>65,1
Income,2011-12-01,NA,1
Income,2012-01-01,15-24,24
Income,2012-01-01,25-34,62
Income,2012-01-01,35-44,19
Income,2012-01-01,45-54,17
Income,2012-01-01,55-64,9
Income,2012-01-01,>65,3
Income,2012-02-01,15-24,16
Income,2012-02-01,25-34,17
Income,2012-02-01,35-44,24
Income,2012-02-01,45-54,5
Income,2012-02-01,55-64,8
Income,2012-02-01,>65,2
Income,2012-03-01,15-24,25
Income,2012-03-01,25-34,20
Income,2012-03-01,35-44,13
Income,2012-03-01,45-54,6
Income,2012-03-01,55-64,1
Income,2012-03-01,>65,1
Income,2012-04-01,15-24,5
Income,2012-04-01,25-34,24
Income,2012-04-01,35-44,16
Income,2012-04-01,45-54,8
Income,2012-04-01,55-64,4
Income,2012-04-01,>65,3
Income,2012-04-01,NA,3
Income,2012-05-01,15-24,214
Income,2012-05-01,25-34,431
Income,2012-05-01,35-44,271
Income,2012-05-01,45-54,143
Income,2012-05-01,55-64,97
Income,2012-05-01,<15,9
Income,2012-05-01,>65,43
Income,2012-05-01,NA,9
Income,2012-06-01,15-24,119
Income,2012-06-01,25-34,219
Income,2012-06-01,35-44,96
Income,2012-06-01,45-54,53
Income,2012-06-01,55-64,35
Income,2012-06-01,<15,14
Income,2012-06-01,>65,18
Income,2012-06-01,NA,4
Income,2012-07-01,15-24,76
Income,2012-07-01,25-34,104
Income,2012-07-01,35-44,56
Income,2012-07-01,45-54,23
Income,2012-07-01,55-64,11
Income,2012-07-01,<15,3
Income,2012-07-01,>65,10
Income,2012-07-01,NA,2
Income,2012-08-01,15-24,163
Income,2012-08-01,25-34,80
Income,2012-08-01,35-44,40
Income,2012-08-01,45-54,30
Income,2012-08-01,55-64,7
Income,2012-08-01,<15,5
Income,2012-08-01,>65,4
Income,2012-08-01,NA,2
Income,2012-09-01,15-24,131
Income,2012-09-01,25-34,77
Income,2012-09-01,35-44,46
Income,2012-09-01,45-54,26
Income,2012-09-01,55-64,4
Income,2012-09-01,<15,6
Income,2012-09-01,>65,3
Income,2012-09-01,NA,2
Income,2012-10-01,15-24,189
Income,2012-10-01,25-34,105
Income,2012-10-01,35-44,55
Income,2012-10-01,45-54,35
Income,2012-10-01,55-64,19
Income,2012-10-01,<15,11
Income,2012-10-01,>65,7
Income,2012-10-01,NA,2
Income,2012-11-01,15-24,151
Income,2012-11-01,25-34,83
Income,2012-11-01,35-44,58
Income,2012-11-01,45-54,30
Income,2012-11-01,55-64,8
Income,2012-11-01,<15,7
Income,2012-11-01,>65,3
Income,2012-11-01,NA,4
Income,2012-12-01,15-24,103
Income,2012-12-01,25-34,85
Income,2012-12-01,35-44,26
Income,2012-12-01,45-54,22
Income,2012-12-01,55-64,7
Income,2012-12-01,<15,8
Income,2012-12-01,>65,3
Income,2012-12-01,NA,1
Income,2013-01-01,15-24,105
Income,2013-01-01,25-34,105
Income,2013-01-01,35-44,41
Income,2013-01-01,45-54,16
Income,2013-01-01,55-64,20
Income,2013-01-01,<15,6
Income,2013-01-01,>65,6
Income,2013-01-01,NA,5
Income,2013-02-01,15-24,95
Income,2013-02-01,25-34,91
Income,2013-02-01,35-44,38
Income,2013-02-01,45-54,30
Income,2013-02-01,55-64,9
Income,2013-02-01,<15,11
Income,2013-02-01,>65,3
Income,2013-02-01,NA,7
Income,2013-03-01,15-24,172
Income,2013-03-01,25-34,112
Income,2013-03-01,35-44,44
Income,2013-03-01,45-54,26
Income,2013-03-01,55-64,19
Income,2013-03-01,<15,4
Income,2013-03-01,>65,5
Income,2013-03-01,NA,3
Income,2013-04-01,15-24,93
Income,2013-04-01,25-34,95
Income,2013-04-01,35-44,45
Income,2013-04-01,45-54,19
Income,2013-04-01,55-64,11
Income,2013-04-01,<15,4
Income,2013-04-01,>65,2
Income,2013-04-01,NA,2
Income,2013-05-01,15-24,714
Income,2013-05-01,25-34,1475
Income,2013-05-01,35-44,809
Income,2013-05-01,45-54,492
Income,2013-05-01,55-64,261
Income,2013-05-01,<15,32
Income,2013-05-01,>65,97
Income,2013-05-01,NA,13
Income,2013-06-01,15-24,408
Income,2013-06-01,25-34,792
Income,2013-06-01,35-44,442
Income,2013-06-01,45-54,216
Income,2013-06-01,55-64,122
Income,2013-06-01,<15,22
Income,2013-06-01,>65,45
Income,2013-06-01,NA,6
Income,2013-07-01,15-24,78
Income,2013-07-01,25-34,103
Income,2013-07-01,35-44,58
Income,2013-07-01,45-54,31
Income,2013-07-01,55-64,14
Income,2013-07-01,<15,3
Income,2013-08-01,15-24,122
Income,2013-08-01,25-34,159
Income,2013-08-01,35-44,61
Income,2013-08-01,45-54,15
Income,2013-08-01,55-64,20
Income,2013-08-01,<15,11
Income,2013-08-01,>65,12
Income,2013-09-01,15-24,209
Income,2013-09-01,25-34,162
Income,2013-09-01,35-44,87
Income,2013-09-01,45-54,39
Income,2013-09-01,55-64,19
Income,2013-09-01,<15,20
Income,2013-09-01,>65,9
Income,2013-10-01,15-24,243
Income,2013-10-01,25-34,147
Income,2013-10-01,35-44,88
Income,2013-10-01,45-54,48
Income,2013-10-01,55-64,18
